epoch,duration_s,peak_db,confidence,clip
1781469333,21,68.4,0.996,1781469333.wav
1781467855,28,64.6,0.996,1781467855.wav
1781467729,16,61.8,0.996,1781467729.wav
1781465717,77,69.8,0.996,1781465717.wav
1781464915,36,68.8,0.996,1781464915.wav
1781464679,27,65.1,0.996,1781464679.wav
1781463386,33,66.8,0.996,1781463386.wav
1781462206,53,73.7,0.996,1781462206.wav
1781461391,48,70.2,0.996,1781461391.wav
1781460916,27,64.7,0.996,1781460916.wav
1781459323,38,71.5,0.996,1781459323.wav
1781459250,32,69.5,0.996,1781459250.wav
1781457816,22,48.3,0.996,1781457816.wav
1781455925,10,58.3,0.996,1781455925.wav
1781450808,33,59.9,0.996,1781450808.wav
1781449030,29,60,0.996,1781449030.wav
1781447889,34,60.6,0.996,1781447889.wav
1781446584,32,58.9,0.996,1781446584.wav
1781443856,41,72.3,0.996,1781443856.wav
1781442863,30,59.7,0.996,1781442863.wav
1781442584,30,56.5,0.996,1781442584.wav
1781441911,32,50.7,0.996,1781441911.wav
1781441490,30,56.3,0.996,1781441490.wav
1781437172,40,64.4,0.996,1781437172.wav
1781437138,16,61.9,0.996,1781437138.wav
1781434919,43,67.4,0.996,1781434919.wav
1781434409,25,62.7,0.996,1781434409.wav
1781434043,20,55.6,0.996,1781434043.wav
1781432971,31,57.3,0.996,1781432971.wav
1781426735,40,68,0.996,1781426735.wav
1781425714,27,65.4,0.996,1781425714.wav
1781423150,14,41,0.996,1781423150.wav
1781422146,27,53.4,0.996,1781422146.wav
1781419556,30,56.3,0.996,1781419556.wav
1781400742,30,40.3,0.996,1781400742.wav
1781395281,31,55.7,0.996,1781395281.wav
1781393471,20,46.2,0.996,1781393471.wav
1781390714,21,46.7,0.996,1781390714.wav
1781390459,13,43.6,0.996,1781390459.wav
1781389443,30,55.1,0.996,1781389443.wav
1781387870,13,46.8,0.996,1781387870.wav
1781386303,19,49,0.996,1781386303.wav
1781385381,41,56.4,0.996,1781385381.wav
1781381810,17,69.1,0.996,1781381810.wav
1781381048,47,68,0.996,1781381048.wav
